state,S1,S2,date
2,0,1,1990-02-01
2,2.5876810086038015e-4,0.9997412318991397,1990-03-01
2,8.650371833107044e-4,0.9991349628166892,1990-05-01
2,6.451540077210487e-4,0.9993548459922789,1990-06-01
1,0.9905579856531401,0.009442014346859873,1990-08-01
1,0.9999995675581222,4.324418777696785e-7,1990-10-01
1,0.9999950730356221,4.9269643779608e-6,1990-11-01
1,0.9999697002300414,3.029976995861422e-5,1991-02-01
1,0.9971452440819595,0.002854755918040472,1991-04-01
1,0.9112407827136647,0.08875921728633526,1991-05-01
1,0.8447482812462022,0.1552517187537979,1991-07-01
2,0.22730337289249022,0.7726966271075097,1991-08-01
2,0.015518728596453748,0.9844812714035462,1991-10-01
2,0.03919645829510258,0.9608035417048973,1991-11-01
2,0.0010865604319922437,0.9989134395680077,1992-04-01
2,0.005605980075420327,0.9943940199245797,1992-05-01
2,0.004209976952311575,0.9957900230476884,1992-06-01
2,0.007638411317982544,0.9923615886820174,1992-07-01
2,0.09104671064091986,0.9089532893590802,1992-09-01
2,0.022107468965328326,0.9778925310346717,1992-10-01
1,1,5.313772641629216e-30,1992-12-01
2,0.023811600776339002,0.976188399223661,1993-02-01
2,0.23414128753069743,0.7658587124693026,1993-03-01
2,0.0058401497747684545,0.9941598502252315,1993-04-01
2,0.0016836684951646713,0.9983163315048353,1993-06-01
2,6.915854858914575e-4,0.9993084145141086,1993-07-01
2,0.0013232139346038665,0.9986767860653961,1993-09-01
2,0.00827489339033508,0.9917251066096648,1993-10-01
2,3.232080814255179e-4,0.9996767919185744,1993-11-01
1,1,1.6982141560458853e-26,1993-12-01
2,0.032107550220279724,0.9678924497797202,1994-02-01
2,0.004328690664916006,0.995671309335084,1994-03-01
2,0.0013693191845325064,0.9986306808154676,1994-06-01
2,8.459303539534048e-4,0.9991540696460467,1994-07-01
2,0.0037085767028276154,0.9962914232971724,1994-08-01
2,7.959706755203761e-4,0.9992040293244796,1994-09-01
2,9.92470522839892e-4,0.9990075294771601,1994-11-01
2,8.721869086200031e-4,0.9991278130913799,1994-12-01
2,7.564888318189795e-4,0.999243511168181,1995-02-01
2,2.194850133719591e-4,0.999780514986628,1995-03-01
2,0.003195025987722699,0.9968049740122773,1995-05-01
2,8.609632862531234e-5,0.9999139036713747,1995-06-01
2,0.0012678827521931482,0.9987321172478069,1995-08-01
2,1.25908815564384e-4,0.9998740911844356,1995-09-01
2,1.3405995365073882e-4,0.9998659400463492,1995-11-01
2,1.0329164339272146e-4,0.9998967083566073,1995-12-01
2,0.008878186836563886,0.9911218131634361,1996-02-01
2,2.318546189941091e-4,0.9997681453810059,1996-03-01
2,4.3680601073292825e-4,0.999563193989267,1996-04-01
2,3.1983399381790406e-4,0.9996801660061821,1996-05-01
2,9.763604940843544e-4,0.9990236395059158,1996-07-01
2,3.7749331291550965e-4,0.9996225066870844,1996-08-01
2,4.373289877975193e-4,0.9995626710122025,1996-10-01
2,2.5026919201018706e-4,0.9997497308079898,1996-11-01
2,6.477112649633758e-4,0.9993522887350366,1997-04-01
2,5.076289481760235e-4,0.9994923710518241,1997-05-01
2,7.188308361031826e-4,0.9992811691638968,1997-07-01
