epoch,value,metric,data
1,0.771739134322042,acc,training
2,0.7608695742876633,acc,training
3,0.798913040238878,acc,training
4,0.8478260863086452,acc,training
5,0.869565210264662,acc,training
6,0.8749999876903451,acc,training
7,0.8695652154476746,acc,training
8,0.891304344586704,acc,training
9,0.8967391122942385,acc,training
10,0.8967391220123871,acc,training
11,0.8913043394036915,acc,training
12,0.8913043543048527,acc,training
13,0.9021738942550577,acc,training
14,0.8532608734524768,acc,training
15,0.8804347800171893,acc,training
16,0.8858695574428724,acc,training
17,0.8913043394036915,acc,training
18,0.8804347702990407,acc,training
19,0.891304344586704,acc,training
20,0.8967391220123871,acc,training
21,0.9021739091562189,acc,training
22,0.8967391220123871,acc,training
23,0.8858695574428724,acc,training
24,0.913043464007585,acc,training
25,0.8967391317305358,acc,training
26,0.9021738994380702,acc,training
27,0.9021739091562189,acc,training
28,0.913043468542721,acc,training
29,0.913043464007585,acc,training
30,0.885869567161021,acc,training
1,0.6414716807396516,loss,training
2,0.5544592006051022,loss,training
3,0.46570840380761935,loss,training
4,0.3948053098891092,loss,training
5,0.3460014420359031,loss,training
6,0.3251408591218617,loss,training
7,0.314264007722554,loss,training
8,0.28717190853279567,loss,training
9,0.29138564431796904,loss,training
10,0.28171069911964564,loss,training
11,0.28495560100545053,loss,training
12,0.2976573717011058,loss,training
13,0.2665886384151552,loss,training
14,0.2877262438768926,loss,training
15,0.2819816473385562,loss,training
16,0.269268776897503,loss,training
17,0.2798947649805442,loss,training
18,0.2710716440949751,loss,training
19,0.27594245856870775,loss,training
20,0.25952388985973335,loss,training
21,0.26884432752495224,loss,training
22,0.260634687324257,loss,training
23,0.2755818457707115,loss,training
24,0.24844918517476838,loss,training
25,0.2524000489679368,loss,training
26,0.2536322636448819,loss,training
27,0.24181577814338,loss,training
28,0.2385463855512764,loss,training
29,0.261375130235177,loss,training
30,0.26622906667382823,loss,training
1,0.9130434737257336,acc,validation
2,0.9402173900085947,acc,validation
3,0.9619565094294755,acc,validation
4,0.9510869351418122,acc,validation
5,0.9076086963000505,acc,validation
6,0.891304344586704,acc,validation
7,0.891304344586704,acc,validation
8,0.891304344586704,acc,validation
9,0.8967391220123871,acc,validation
10,0.9076086865819019,acc,validation
11,0.8967391220123871,acc,validation
12,0.9021738994380702,acc,validation
13,0.9184782511514166,acc,validation
14,0.9293478157209314,acc,validation
15,0.9021738994380702,acc,validation
16,0.8858695574428724,acc,validation
17,0.8967391220123871,acc,validation
18,0.8858695574428724,acc,validation
19,0.9021738994380702,acc,validation
20,0.9021738994380702,acc,validation
21,0.9076086768637532,acc,validation
22,0.8804347800171893,acc,validation
23,0.8804347800171893,acc,validation
24,0.9021738994380702,acc,validation
25,0.9021738994380702,acc,validation
26,0.9021738994380702,acc,validation
27,0.9021738994380702,acc,validation
28,0.9021738994380702,acc,validation
29,0.8641304380219915,acc,validation
30,0.9021738994380702,acc,validation
1,0.5453016200791234,loss,validation
2,0.4093949976174728,loss,validation
3,0.2954559680884299,loss,validation
4,0.23826251972628676,loss,validation
5,0.19738582554070846,loss,validation
6,0.203492959232434,loss,validation
7,0.20103559667325538,loss,validation
8,0.20578872922645963,loss,validation
9,0.19032330470888512,loss,validation
10,0.1862129568243804,loss,validation
11,0.20938094243731187,loss,validation
12,0.22412283386549223,loss,validation
13,0.18015611171722412,loss,validation
14,0.15737235659490462,loss,validation
15,0.20994324876886347,loss,validation
16,0.22805270512142908,loss,validation
17,0.20999887771904469,loss,validation
18,0.2484174442032109,loss,validation
19,0.22430404340443405,loss,validation
20,0.19525877685974474,loss,validation
21,0.18943778077221435,loss,validation
22,0.23174877719872672,loss,validation
23,0.2372124066738331,loss,validation
24,0.19814989671273076,loss,validation
25,0.19701738586730283,loss,validation
26,0.19829660739101793,loss,validation
27,0.21179549347447313,loss,validation
28,0.2106892990110361,loss,validation
29,0.275369881287865,loss,validation
30,0.21171984291109053,loss,validation
