DATE,CMRMTSPL
1967-01-01,336882.640
1967-02-01,335589.566
1967-03-01,338020.191
1967-04-01,337799.124
1967-05-01,337522.513
1967-06-01,340029.789
1967-07-01,337832.451
1967-08-01,342370.432
1967-09-01,343579.079
1967-10-01,341195.112
1967-11-01,350385.496
1967-12-01,358176.161
1968-01-01,354583.546
1968-02-01,353465.991
1968-03-01,356096.576
1968-04-01,355390.051
1968-05-01,357880.664
1968-06-01,360411.269
1968-07-01,363850.582
1968-08-01,357647.377
1968-09-01,362653.043
1968-10-01,367564.283
1968-11-01,370733.650
1968-12-01,367295.448
1969-01-01,367304.335
1969-02-01,367876.443
1969-03-01,369229.506
1969-04-01,370825.854
1969-05-01,370570.349
1969-06-01,370358.169
1969-07-01,370462.593
1969-08-01,374481.789
1969-09-01,376289.206
1969-10-01,380641.669
1969-11-01,375371.611
1969-12-01,374679.527
1970-01-01,369957.138
1970-02-01,370285.961
1970-03-01,365959.049
1970-04-01,364109.419
1970-05-01,368064.183
1970-06-01,369538.333
1970-07-01,369932.699
1970-08-01,369761.622
1970-09-01,369119.528
1970-10-01,365279.185
1970-11-01,359148.188
1970-12-01,370545.910
1971-01-01,374176.295
1971-02-01,376265.877
1971-03-01,377826.676
1971-04-01,379881.821
1971-05-01,381737.005
1971-06-01,386979.290
1971-07-01,382522.404
1971-08-01,384926.367
1971-09-01,388392.341
1971-10-01,388661.176
1971-11-01,395232.085
1971-12-01,398922.458
1972-01-01,403139.392
1972-02-01,398788.040
1972-03-01,406176.563
1972-04-01,408936.011
1972-05-01,411454.397
1972-06-01,413249.593
1972-07-01,410683.440
1972-08-01,420528.138
1972-09-01,427760.025
1972-10-01,433664.400
1972-11-01,441960.519
1972-12-01,447854.896
1973-01-01,453559.311
1973-02-01,454268.058
1973-03-01,452453.976
1973-04-01,450582.129
1973-05-01,449137.973
1973-06-01,448241.485
1973-07-01,454350.264
1973-08-01,444961.030
1973-09-01,448032.638
1973-10-01,459524.785
1973-11-01,466957.743
