DATE,RPI
1959-01-01,2289.932
1959-02-01,2299.79
1959-03-01,2314.456
1959-04-01,2328.668
1959-05-01,2342.767
1959-06-01,2350.325
1959-07-01,2348.724
1959-08-01,2335.624
1959-09-01,2336.587
1959-10-01,2340.72
1959-11-01,2358.271
1959-12-01,2380.985
1960-01-01,2391.097
1960-02-01,2392.879
1960-03-01,2397.259
1960-04-01,2405.388
1960-05-01,2411.547
1960-06-01,2413.014
1960-07-01,2415.536
1960-08-01,2413.923
1960-09-01,2417.562
1960-10-01,2424.631
1960-11-01,2413.326
1960-12-01,2401.052
1961-01-01,2424.375
1961-02-01,2433.791
1961-03-01,2443.43
1961-04-01,2449.466
1961-05-01,2467.371
1961-06-01,2491.317
1961-07-01,2498.602
1961-08-01,2499.397
1961-09-01,2502.717
1961-10-01,2526.966
1961-11-01,2550.062
1961-12-01,2564.535
1962-01-01,2561.097
1962-02-01,2572.839
1962-03-01,2590.088
1962-04-01,2602.63
1962-05-01,2605.575
1962-06-01,2611.289
1962-07-01,2622.724
1962-08-01,2626.46
1962-09-01,2627.647
1962-10-01,2640.453
1962-11-01,2652.311
1962-12-01,2664.297
1963-01-01,2680.341
1963-02-01,2665.973
1963-03-01,2677.337
1963-04-01,2685.822
1963-05-01,2696.208
1963-06-01,2710.314
1963-07-01,2711.356
1963-08-01,2721.528
1963-09-01,2739.16
1963-10-01,2755.384
1963-11-01,2760.363
1963-12-01,2781.604
1964-01-01,2793.229
1964-02-01,2804.024
1964-03-01,2817.234
1964-04-01,2834.544
1964-05-01,2851.905
1964-06-01,2862.603
1964-07-01,2874.866
1964-08-01,2894.863
1964-09-01,2906.71
1964-10-01,2908.302
1964-11-01,2925.867
1964-12-01,2954.822
1965-01-01,2974.656
1965-02-01,2975.975
1965-03-01,2989.446
1965-04-01,3003.428
1965-05-01,3018.975
1965-06-01,3027.196
1965-07-01,3047.198
1965-08-01,3059.98
1965-09-01,3138.556
1965-10-01,3122.057
1965-11-01,3146.257
1965-12-01,3162.565
1966-01-01,3172.508
1966-02-01,3186.239
1966-03-01,3200.737
1966-04-01,3200.352
1966-05-01,3210.663
1966-06-01,3226.575
1966-07-01,3240.183
1966-08-01,3255.839
1966-09-01,3274.03
1966-10-01,3289.264
1966-11-01,3308.852
1966-12-01,3307.18
1967-01-01,3338.894
1967-02-01,3341.847
1967-03-01,3362.344
1967-04-01,3359.532
1967-05-01,3365.451
1967-06-01,3378.705
1967-07-01,3397.246
1967-08-01,3411.852
1967-09-01,3413.562
1967-10-01,3412.733
1967-11-01,3433.402
1967-12-01,3463.633
1968-01-01,3470.746
1968-02-01,3496.79
1968-03-01,3526.413
1968-04-01,3544.288
1968-05-01,3561.774
1968-06-01,3577.283
1968-07-01,3599.236
1968-08-01,3614.475
1968-09-01,3629.426
1968-10-01,3635.659
1968-11-01,3650.926
1968-12-01,3664.513
